episode,length,time,reward,delta
151,17.0,0.0028092861703044036,83.0,0.0
152,16.0,0.0029779776614304865,-15.0,0.0
153,14.0,0.0023348166596406372,86.0,0.0
154,16.0,0.002009680600167485,84.0,0.0
155,14.0,0.0017039025806298014,86.0,0.0
156,14.0,0.001708248263639689,86.0,0.0
157,14.0,0.002037334942542657,86.0,0.0
158,14.0,0.0015494333229071344,86.0,0.0
159,18.0,0.0017718532517392305,82.0,0.0
160,14.0,0.0017588162045285571,86.0,0.0
161,18.0,0.0016154086843016557,82.0,0.0
162,16.0,0.001671902555244742,84.0,0.0
163,16.0,0.001677433424447372,84.0,0.0
164,16.0,0.0015960506434566923,84.0,0.0
165,16.0,0.0019678040234794025,84.0,0.0
166,14.0,0.0012231120772412396,86.0,0.0
167,16.0,0.0018212360073448508,84.0,0.0
168,18.0,0.0019322484404256102,82.0,0.0
169,20.0,0.0021503226871573133,80.0,0.0
170,18.0,0.0022091869304858847,82.0,0.0
171,14.0,0.0017402482881152537,86.0,0.0
172,16.0,0.0020017793594888644,84.0,0.0
173,14.0,0.0017335322336293757,86.0,0.0
174,14.0,0.0017378779166392633,86.0,0.0
175,14.0,0.0017283964270973229,86.0,0.0
176,14.0,0.0018777298791974317,86.0,0.0
177,14.0,0.0018117545178029104,86.0,0.0
178,15.0,0.0018737792588581215,85.0,0.0
179,16.0,0.001974125016204198,84.0,0.0
180,14.0,0.0017457791573178838,86.0,0.0
181,14.0,0.0010224205607300973,86.0,0.0
182,15.0,0.001084840363546391,85.0,0.0
183,16.0,0.001144099668636045,84.0,0.0
184,18.0,0.002198915317421779,82.0,0.0
185,17.0,0.002073680650937604,83.0,0.0
186,14.0,0.001871803948233719,86.0,0.0
187,14.0,0.0013226677119746455,86.0,0.0
188,16.0,0.0018382236748948344,84.0,0.0
189,14.0,0.001737482853968686,86.0,0.0
190,17.0,0.0020717053403132013,83.0,0.0
191,14.0,0.0018117545178029104,86.0,0.0
192,16.0,0.002017186779085023,84.0,0.0
193,16.0,0.0019591126592786168,84.0,0.0
194,16.0,0.001962273156095762,84.0,0.0
195,14.0,0.001626865483558504,86.0,0.0
196,16.0,0.0011425194206822198,84.0,0.0
197,14.0,0.0017560507703819894,86.0,0.0
198,14.0,0.0017343223580610356,86.0,0.0
199,16.0,0.0019567422868931317,84.0,0.0
200,14.0,0.0017710631273075705,86.0,0.0
201,16.0,0.00200652010335034,84.0,0.0
202,16.0,0.0019784706992140855,84.0,0.0
203,16.0,0.0019709645202965476,84.0,0.0
204,14.0,0.0019282978200863,86.0,0.0
205,14.0,0.0017983224079216598,86.0,0.0
206,16.0,0.001976495388589683,84.0,0.0
207,14.0,0.001738272978400346,86.0,0.0
208,14.0,0.001739853226354171,86.0,0.0
209,17.0,0.0021254337780192145,83.0,0.0
